login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
filipmartinsson,filipmartinsson/telegram-copytrade-bot,2024-06-20T08:23:45Z,4,4,JavaScript,true,true,
Marwes,Marwes/qmk_firmware,2024-08-11T16:40:20Z,0,0,,true,false,GNU General Public License v2.0
arirawr,arirawr/ariv.se,2015-05-02T18:03:44Z,0,0,HTML,true,true,
boredabdel,boredabdel/developers-conferences-agenda,2023-08-14T19:43:36Z,0,0,JavaScript,true,true,
felixjones,felixjones/felixjones.co.uk,2022-07-23T20:44:17Z,2,2,HTML,true,true,
CarlGroth,CarlGroth/better-timers,2024-10-20T19:15:37Z,0,0,,true,true,"BSD 2-Clause ""Simplified"" License"
garazdawi,garazdawi/otp,2010-08-17T15:09:26Z,12,12,Erlang,false,false,Apache License 2.0
monperrus,monperrus/canvaslms,2024-10-30T08:15:29Z,0,0,,true,true,MIT License
FredrikNoren,FredrikNoren/ungit,2013-05-19T10:44:44Z,10450,10450,JavaScript,true,true,MIT License
dfahlander,dfahlander/TypeScript,2015-04-24T07:49:01Z,0,0,TypeScript,true,true,Apache License 2.0
themaxsandelin,themaxsandelin/sudoku-react,2024-10-26T12:03:30Z,0,0,TypeScript,true,true,
plajjan,plajjan/draft-kll-yang-label-tsdb,2023-10-17T21:47:05Z,0,0,Makefile,true,true,Other
ranisalt,ranisalt/tibiapak,2024-10-03T21:30:12Z,1,1,,false,false,Creative Commons Zero v1.0 Universal
DMarby,DMarby/humblebundle-ebook-downloader,2014-11-29T21:56:26Z,230,230,JavaScript,false,false,The Unlicense
bjorng,bjorng/otp,2009-11-25T16:02:48Z,6,6,Erlang,true,true,Apache License 2.0
ilkermanap,ilkermanap/storagetest,2024-10-30T12:16:11Z,0,0,Python,true,true,GNU General Public License v3.0
udoprog,udoprog/jpv,2023-04-24T20:33:51Z,7,7,Rust,true,true,Apache License 2.0
kvakvs,kvakvs/aeternity,2024-09-11T01:38:37Z,0,0,,true,true,ISC License
mostafa,mostafa/logto,2024-06-22T16:30:11Z,0,0,TypeScript,true,false,Mozilla Public License 2.0
samuelkraft,samuelkraft/samuelkraft-next,2021-01-04T08:39:52Z,462,462,MDX,true,true,MIT License
johanandren,johanandren/sbt-akka-version-check,2019-11-13T14:25:08Z,10,10,Scala,true,true,Apache License 2.0
philpax,philpax/philpax.github.io,2021-10-07T01:41:46Z,0,0,HTML,true,true,
hex2f,hex2f/site,2024-08-12T19:59:56Z,0,0,TypeScript,true,true,
Vintharas,Vintharas/dotfiles,2019-03-13T06:56:32Z,1,1,Shell,true,true,
K-Phoen,K-Phoen/dashboard-linter,2024-01-17T11:22:05Z,0,0,Go,true,true,Apache License 2.0
beiciliang,beiciliang/beiciliang.github.io,2019-12-03T15:40:58Z,1,1,SCSS,true,false,MIT License
Ezzpify,Ezzpify/qmk_firmware,2024-07-27T09:39:23Z,0,0,,true,true,GNU General Public License v2.0
